transcript,ticker,event_date,sentiment_index,close_before,close_after,close_before_date,close_after_date,price_change_pct,price_up,benchmark_return,abnormal_return,CAR
TSLA_2018_Q2_20180801,TSLA,2018-08-01,0.6719596435837142,19.875999450683594,23.30266761779785,2018-07-31,2018-08-02,0.1724023073967435,1,0.0038809680427174353,0.16852133935402608,0.04297750722688892
TSLA_2018_Q3_20181025,TSLA,2018-10-25,0.729170290153869,19.233333587646484,22.059999465942383,2018-10-24,2018-10-26,0.14696702812410314,1,0.0009750550260832734,0.14599197309801987,0.1889694803249088
TSLA_2018_Q4_20190130,TSLA,2019-01-30,0.6816378750312831,19.83066749572754,20.468000411987305,2019-01-29,2019-01-31,0.032138752585967024,1,0.02428034002130682,0.007858412564660206,0.196827892889569
TSLA_2019_Q1_20190424,TSLA,2019-04-24,0.516122968643396,17.593332290649414,16.5086669921875,2019-04-23,2019-04-25,-0.06165206684798405,0,-0.002559928124614848,-0.0590921387233692,0.13773575416619982
TSLA_2019_Q2_20190624,TSLA,2019-06-24,0.5740441815145942,14.790666580200195,14.650667190551758,2019-06-21,2019-06-25,-0.009465387438038143,0,-0.011211837666995116,0.0017464502289569733,0.1394822043951568
TSLA_2019_Q3_20191023,TSLA,2019-10-23,0.7067295016563683,17.038667678833008,19.978666305541992,2019-10-22,2019-10-24,0.17254862188323092,1,0.004773062952392011,0.1677755589308389,0.3072577633259957
TSLA_2019_Q4_20200129,TSLA,2020-01-29,0.6926415822866604,37.793331146240234,42.72066879272461,2020-01-28,2020-01-30,0.130375849311038,1,0.0022647675069948693,0.12811108180404313,0.4353688451300388
TSLA_2020_Q1_20200430,TSLA,2020-04-30,0.7849689212919525,53.367332458496094,46.75466537475586,2020-04-29,2020-05-01,-0.12390851817229055,0,-0.037012988037689966,-0.08689553013460058,0.3484733149954382
TSLA_2020_Q2_20200722,TSLA,2020-07-22,0.5249323906558091,104.55733489990234,100.87133026123047,2020-07-21,2020-07-23,-0.03525342953892867,0,-0.006643581000938322,-0.028609848537990347,0.31986346645744784
TSLA_2020_Q3_20211021,TSLA,2021-10-21,0.6181355074696601,288.6000061035156,303.2266540527344,2021-10-20,2021-10-22,0.050681384753583254,1,0.0019201049889899127,0.048761279764593345,0.36862474622204117
